,program_id,title,description,level,goal,equipment,program_length,time_per_workout,total_exercises,workout_frequency,primary_level,primary_goal,training_style,intensity_score
78,FP000079,Upper/Lower/Push/Pull/Legs Athletics Program,"5-day program combining powerlifting and bodybuilding approaches for strength and size.

This 8-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Intermediate lifters seeking improvements in Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include strategic deloads, rest-pause techniques, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest",['Intermediate'],['Powerlifting'],Full Gym,8,50,248,3,Intermediate,Powerlifting,Other,6.0
79,FP000080,PHUL (Power Hypertrophy Upper Lower) Bodybuilding Program,"4-day split alternating between upper and lower body workouts for optimal recovery and growth.

This 5-week upper/lower split features 6 weekly sessions (3 upper body and 3 lower body), perfect for Advanced, Intermediate lifters focusing on Bodyweight Fitness.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include progressive overload mechanisms, periodized intensity and volume.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Wednesday: Upper Body
Thursday: Lower Body
Friday: Upper Body
Saturday: Lower Body","['Advanced', 'Intermediate']",['Bodyweight Fitness'],Dumbbell Only,5,40,122,6,Advanced,Bodyweight Fitness,Upper/Lower,9.0
80,FP000081,6-Day PHUL (Power Hypertrophy Upper Lower) Split,"Advanced training methodology blending strength and hypertrophy training principles.

This 5-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Advanced lifters seeking improvements in Muscle & Sculpting, Powerlifting, Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, drop sets for muscle fatigue, rest-pause techniques, tempo variations.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest",['Advanced'],"['Muscle & Sculpting', 'Powerlifting', 'Bodybuilding']",At Home,5,75,243,3,Advanced,Muscle & Sculpting,Other,8.0
81,FP000082,Scientific Functional Split,"Structured 4-day split focusing on strength for upper/lower followed by hypertrophy for upper/lower.

This 14-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Intermediate trainees looking to improve Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, supersets for efficiency, tempo variations.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Thursday: Upper Hypertrophy
Friday: Lower Hypertrophy",['Intermediate'],['Bodybuilding'],At Home,14,75,552,4,Intermediate,Bodybuilding,Upper/Lower,8.0
82,FP000083,Ultimate Weight Loss System,"Advanced training split for targeted development of specific muscle groups.

This 4-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Advanced lifters focusing on Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, strategic deloads, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Advanced'],['Muscle & Sculpting'],Dumbbell Only,4,45,95,5,Advanced,Muscle & Sculpting,Body Part Split,9.0
83,FP000084,PeakHypertrophy Max,"Streamlined approach grouping exercises by push and pull mechanics.

This 13-week Push/Pull program includes 4 training sessions per week, structured to optimize gains for Advanced individuals pursuing Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include tempo variations.

Weekly Schedule:
Tuesday: Training
Thursday: Training
Saturday: Training
Sunday: Training",['Advanced'],['Muscle & Sculpting'],At Home,13,60,414,4,Advanced,Muscle & Sculpting,Other,9.0
84,FP000085,Classic Sculpting Strategy,"Specialized program alternating between power and hypertrophy training across 5 weekly sessions.

This 14-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Beginner lifters seeking improvements in Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, strategic deloads, supersets for efficiency, rest-pause techniques.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest",['Beginner'],['Strength'],Dumbbell Only,14,90,600,3,Beginner,Strength,Other,6.0
85,FP000086,Performance Powerlifting Builder,"Balanced full-body workouts performed 2-4 times weekly with emphasis on progressive overload.

This 16-week full body program includes 3 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Novice, Advanced trainees seeking General Fitness, Powerbuilding, Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, autoregulation guidelines.

Weekly Schedule:
Monday: Full Body
Wednesday: Full Body
Saturday: Full Body","['Novice', 'Advanced']","['General Fitness', 'Powerbuilding', 'Strength']",Full Gym,16,40,283,3,Novice,General Fitness,Full Body,4.0
86,FP000087,4-Day PHAT (Power Hypertrophy Adaptive Training) Split,"Classic bodybuilding split separating workouts by movement pattern for maximum recovery.

This 13-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Intermediate trainees pursuing Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, strategic deloads, tempo variations.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs",['Intermediate'],['Strength'],Garage Gym,13,120,241,6,Intermediate,Strength,Push/Pull/Legs,10.0
87,FP000088,BeastHypertrophy System,"Science-based program alternating between strength and volume for optimal results.

This 13-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Intermediate, Advanced trainees looking to improve General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include drop sets for muscle fatigue, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Thursday: Upper Hypertrophy
Friday: Lower Hypertrophy","['Intermediate', 'Advanced']",['General Fitness'],At Home,13,100,513,4,Intermediate,General Fitness,Other,9.0
88,FP000089,Push/Pull/Legs (PPL) General Fitness Program,"High-volume PPL program hitting each muscle group twice weekly for maximum hypertrophy.

This 6-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Advanced trainees pursuing Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, drop sets for muscle fatigue, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs",['Advanced'],['Weight Loss'],Dumbbell Only,6,80,291,6,Advanced,Weight Loss,Push/Pull/Legs,10.0
89,FP000090,5-Day Push/Pull/Legs (PPL) Split,"Structured approach to hit each muscle group multiple times weekly with varied stimuli.

This 2-week Upper/Lower/Push/Pull/Legs program includes 6 training sessions per week, structured to optimize gains for Beginner individuals pursuing Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Beginner'],['Muscle & Sculpting'],At Home,2,60,61,4,Beginner,Muscle & Sculpting,Upper/Lower,6.0
90,FP000091,Cutting-edge Weight Loss Protocol,"Specialized program alternating between heavy compound lifts and higher-rep hypertrophy work.

This 7-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Beginner trainees looking to improve Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, periodized intensity and volume, strategic deloads, supersets for efficiency, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy",['Beginner'],['Powerlifting'],Garage Gym,7,100,288,4,Beginner,Powerlifting,Other,7.0
91,FP000092,6-Day Upper/Lower/Push/Pull/Legs Split,"Train upper body twice and lower body twice per week for balanced development and recovery.

This 5-week upper/lower split features 6 weekly sessions (3 upper body and 3 lower body), perfect for Beginner, Novice, Advanced lifters focusing on Powerbuilding.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include periodized intensity and volume, strategic deloads.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Wednesday: Upper Body
Thursday: Lower Body
Friday: Upper Body
Saturday: Lower Body","['Beginner', 'Novice', 'Advanced']",['Powerbuilding'],Garage Gym,5,70,205,6,Beginner,Powerbuilding,Upper/Lower,8.0
92,FP000093,HyperForge Max,"High-frequency training approach hitting all muscle groups 3 times per week with varied intensity.

This 3-week full body program includes 3 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Beginner trainees seeking Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency.

Weekly Schedule:
Monday: Full Body
Thursday: Full Body
Sunday: Full Body",['Beginner'],['Strength'],At Home,3,90,85,3,Beginner,Strength,Full Body,6.0
93,FP000094,Muscle Performance Program,"Intense 5-day split designed for athletes wanting both strength and muscle gains.

This 12-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Intermediate, Beginner lifters seeking improvements in Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include drop sets for muscle fatigue, rest-pause techniques, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest","['Intermediate', 'Beginner']",['Athletics'],Full Gym,12,60,426,3,Intermediate,Athletics,Body Part Split,7.0
94,FP000095,6-Day Upper/Lower Split,"Train the entire body 3 times per week, focusing on compound movements for optimal muscle stimulation.

This 16-week full body program includes 2 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Beginner trainees seeking Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include progressive overload mechanisms, strategic deloads, rest-pause techniques, autoregulation guidelines.

Weekly Schedule:
Friday: Full Body
Sunday: Full Body",['Beginner'],['Weight Loss'],Garage Gym,16,40,340,3,Beginner,Weight Loss,Full Body,3.0
95,FP000096,3-Day ULPPL Split,"Comprehensive body part split allowing for maximum focus on each muscle group.

This 3-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Novice lifters focusing on Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include periodized intensity and volume, strategic deloads, supersets for efficiency, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Novice'],['Strength'],Garage Gym,3,40,107,5,Novice,Strength,Body Part Split,6.0
96,FP000097,TitanHypertrophy,"6-day hybrid combining upper/lower and push/pull/legs for maximum stimulus.

This 4-week ULPPL program includes 5 training sessions per week, structured to optimize gains for Advanced individuals pursuing Muscle & Sculpting, Strength.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume.

Weekly Schedule:
Monday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Advanced'],"['Muscle & Sculpting', 'Strength']",Dumbbell Only,4,50,103,4,Advanced,Muscle & Sculpting,Upper/Lower,8.0
97,FP000098,4-Day Full Body with Specialization Split,"High-frequency approach with specialization sets for targeted muscle growth.

This 3-week Full Body with Specialization program includes 6 training sessions per week, structured to optimize gains for Advanced, Intermediate, Novice individuals pursuing Athletics, Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training","['Advanced', 'Intermediate', 'Novice']","['Athletics', 'Powerlifting']",At Home,3,90,113,3,Advanced,Athletics,Full Body,9.0
98,FP000099,Power Mass Approach,"Train the entire body 3 times per week, focusing on compound movements for optimal muscle stimulation.

This 9-week full body program includes 3 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Intermediate, Beginner, Novice trainees seeking Powerlifting, Bodybuilding, Powerbuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, tempo variations.

Weekly Schedule:
Monday: Full Body
Tuesday: Full Body
Saturday: Full Body","['Intermediate', 'Beginner', 'Novice']","['Powerlifting', 'Bodybuilding', 'Powerbuilding']",Dumbbell Only,9,90,341,3,Intermediate,Powerlifting,Full Body,8.0
99,FP000100,PeakLift Elite,"Advanced training split providing optimal stimulus for maximum muscle development.

This 11-week Upper/Lower/Push/Pull/Legs program includes 5 training sessions per week, structured to optimize gains for Novice individuals pursuing General Fitness, Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include progressive overload mechanisms, strategic deloads, supersets for efficiency, rest-pause techniques.

Weekly Schedule:
Monday: Training
Wednesday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Novice'],"['General Fitness', 'Weight Loss']",Garage Gym,11,50,265,4,Novice,General Fitness,Upper/Lower,6.0
100,FP000101,Balanced Athletic Program,"Advanced training split hitting each muscle group multiple times weekly.

This 8-week ULPPL program includes 5 training sessions per week, structured to optimize gains for Novice individuals pursuing Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include strategic deloads, autoregulation guidelines.

Weekly Schedule:
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Novice'],['Strength'],Garage Gym,8,45,158,6,Novice,Strength,Push/Pull/Legs,8.0
101,FP000102,Intense Bodybuilding Approach,"Comprehensive body part split allowing for maximum focus on each muscle group.

This 3-week body part split includes 4 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Advanced lifters focusing on Bodyweight Fitness.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Chest & Triceps
Tuesday: Back & Biceps
Wednesday: Shoulders & Arms
Thursday: Legs & Core",['Advanced'],['Bodyweight Fitness'],Dumbbell Only,3,100,133,5,Advanced,Bodyweight Fitness,Body Part Split,10.0
102,FP000103,Athletic Athletics Builder,"Classic 5-day split targeting one major muscle group per session for maximum volume and intensity.

This 7-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Novice, Beginner lifters focusing on Bodyweight Fitness, Weight Loss, Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, drop sets for muscle fatigue, tempo variations.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs","['Novice', 'Beginner']","['Bodyweight Fitness', 'Weight Loss', 'Bodybuilding']",At Home,7,80,327,5,Novice,Bodyweight Fitness,Body Part Split,8.0
103,FP000104,4-Day PHAT (Power Hypertrophy Adaptive Training) Split,"Comprehensive push/pull/legs routine designed for advanced muscle development.

This 2-week PPL program involves 3 weekly sessions (1 push, 1 pull, and 1 leg day), ideal for Advanced, Intermediate, Beginner trainees pursuing Powerbuilding, Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Tuesday: Push
Thursday: Pull
Saturday: Legs","['Advanced', 'Intermediate', 'Beginner']","['Powerbuilding', 'Powerlifting']",Full Gym,2,50,46,3,Advanced,Powerbuilding,Push/Pull/Legs,7.0
104,FP000105,4-Day Push/Pull Split,"High-frequency, high-volume approach for experienced lifters seeking maximum gains.

This 6-week ULPPL program includes 6 training sessions per week, structured to optimize gains for Advanced individuals pursuing Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Thursday: Training
Saturday: Training
Sunday: Training",['Advanced'],['Weight Loss'],Dumbbell Only,6,70,217,6,Advanced,Weight Loss,Push/Pull/Legs,10.0
105,FP000106,Classic Body Framework,"Science-based program alternating between strength and volume for optimal results.

This 1-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Intermediate trainees looking to improve Bodybuilding, Bodyweight Fitness.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include supersets for efficiency.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Thursday: Upper Hypertrophy
Friday: Lower Hypertrophy",['Intermediate'],"['Bodybuilding', 'Bodyweight Fitness']",Garage Gym,1,60,36,4,Intermediate,Bodybuilding,Other,8.0
106,FP000107,Push/Pull Powerbuilding Program,"Classic bodybuilding split separating workouts by movement pattern for maximum recovery.

This 7-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Intermediate, Advanced, Beginner trainees pursuing Bodyweight Fitness.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs","['Intermediate', 'Advanced', 'Beginner']",['Bodyweight Fitness'],Garage Gym,7,80,147,6,Intermediate,Bodyweight Fitness,Push/Pull/Legs,10.0
107,FP000108,BeastHypertrophy System,"Comprehensive push/pull/legs routine designed for advanced muscle development.

This 3-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Novice trainees pursuing General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include progressive overload mechanisms, periodized intensity and volume, tempo variations.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs",['Novice'],['General Fitness'],At Home,3,70,74,6,Novice,General Fitness,Push/Pull/Legs,9.0
108,FP000109,5-Day PHUL (Power Hypertrophy Upper Lower) Split,"High-volume PPL program hitting each muscle group twice weekly for maximum hypertrophy.

This 11-week PPL program involves 6 weekly sessions (2 push, 2 pull, and 2 leg days), ideal for Advanced, Intermediate trainees pursuing Muscle & Sculpting, Powerlifting, General Fitness.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Push
Tuesday: Pull
Wednesday: Legs
Thursday: Push
Friday: Pull
Saturday: Legs","['Advanced', 'Intermediate']","['Muscle & Sculpting', 'Powerlifting', 'General Fitness']",Garage Gym,11,40,394,6,Advanced,Muscle & Sculpting,Push/Pull/Legs,9.0
109,FP000110,PHAT (Power Hypertrophy Adaptive Training) Powerlifting Program,"High-frequency training approach hitting all muscle groups 3 times per week with varied intensity.

This 13-week full body program includes 4 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Advanced trainees seeking Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include strategic deloads, supersets for efficiency.

Weekly Schedule:
Monday: Full Body
Tuesday: Full Body
Wednesday: Full Body
Thursday: Full Body",['Advanced'],['Weight Loss'],Dumbbell Only,13,70,397,3,Advanced,Weight Loss,Full Body,8.0
110,FP000111,Progressive Building System,"Advanced training split hitting each muscle group multiple times weekly.

This 14-week ULPPL program includes 6 training sessions per week, structured to optimize gains for Advanced individuals pursuing Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include supersets for efficiency, drop sets for muscle fatigue, tempo variations.

Weekly Schedule:
Monday: Training
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training
Sunday: Training",['Advanced'],['Weight Loss'],Garage Gym,14,45,335,6,Advanced,Weight Loss,Push/Pull/Legs,10.0
111,FP000112,PrimePerformance Plus,"5-day hybrid split combining elements of upper/lower and push/pull/legs approaches.

This 4-week Upper/Lower/Push/Pull/Legs program includes 6 training sessions per week, structured to optimize gains for Novice, Beginner individuals pursuing Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, strategic deloads, drop sets for muscle fatigue, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Friday: Training
Saturday: Training
Sunday: Training","['Novice', 'Beginner']",['Powerlifting'],Dumbbell Only,4,60,151,4,Novice,Powerlifting,Upper/Lower,7.0
112,FP000113,PowerAthletic,"Efficient training split with emphasis on bringing up weak points.

This 10-week Full Body with Specialization program includes 4 training sessions per week, structured to optimize gains for Advanced individuals pursuing Muscle & Sculpting.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, strategic deloads, tempo variations.

Weekly Schedule:
Tuesday: Training
Thursday: Training
Friday: Training
Saturday: Training",['Advanced'],['Muscle & Sculpting'],Dumbbell Only,10,40,300,3,Advanced,Muscle & Sculpting,Full Body,6.0
113,FP000114,Full Body with Specialization Weight Loss Program,"5-day program combining powerlifting and bodybuilding approaches for strength and size.

This 1-week PHAT program features 5 weekly sessions, combining power training (2 days) with hypertrophy-focused bodybuilding (3 days). Designed for Intermediate lifters seeking improvements in General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include progressive overload mechanisms, periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Tuesday: Lower Power
Wednesday: Back & Shoulders Hypertrophy
Thursday: Lower Hypertrophy
Friday: Chest & Arms Hypertrophy
Saturday: Rest
Sunday: Rest",['Intermediate'],['General Fitness'],Dumbbell Only,1,100,57,3,Intermediate,General Fitness,Other,8.0
114,FP000115,MuscleForge Pro,"Efficient training structure hitting each movement pattern twice weekly.

This 6-week Push/Pull program includes 5 training sessions per week, structured to optimize gains for Advanced individuals pursuing Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include periodized intensity and volume, supersets for efficiency, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Thursday: Training
Friday: Training
Sunday: Training",['Advanced'],['Strength'],Full Gym,6,60,288,4,Advanced,Strength,Other,9.0
115,FP000116,Push/Pull/Legs (PPL) Powerlifting Program,"High-frequency, high-volume approach for experienced lifters seeking maximum gains.

This 12-week ULPPL program includes 6 training sessions per week, structured to optimize gains for Novice individuals pursuing Weight Loss.

Exercise selection focuses on efficient compound movements arranged for optimal caloric expenditure, while preserving muscle mass during fat loss. 

Program features include progressive overload mechanisms, supersets for efficiency, drop sets for muscle fatigue, autoregulation guidelines.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Sunday: Training",['Novice'],['Weight Loss'],Dumbbell Only,12,30,370,6,Novice,Weight Loss,Push/Pull/Legs,7.0
116,FP000117,Ultimate Weight Loss Builder,"Traditional bodybuilding split focusing on one or two muscle groups per workout.

This 9-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Advanced lifters focusing on General Fitness, Bodyweight Fitness, Powerbuilding.

Exercise selection focuses on heavy compound lifts for strength development combined with strategic isolation work for balanced muscle development and aesthetics. 

Program features include supersets for efficiency, rest-pause techniques.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs",['Advanced'],"['General Fitness', 'Bodyweight Fitness', 'Powerbuilding']",Garage Gym,9,40,118,5,Advanced,General Fitness,Body Part Split,8.0
117,FP000118,Fundamental General Fitness Method,"Efficient full-body program designed for balanced development and maximum muscle recruitment.

This 7-week full body program includes 2 training sessions per week, targeting all major muscle groups each session with a focus on compound lifts. Designed for Intermediate, Novice, Advanced trainees seeking Strength.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include progressive overload mechanisms, tempo variations.

Weekly Schedule:
Monday: Full Body
Thursday: Full Body","['Intermediate', 'Novice', 'Advanced']",['Strength'],At Home,7,80,306,3,Intermediate,Strength,Full Body,7.0
118,FP000119,StrengthLift 2.0,"Comprehensive body part split allowing for maximum focus on each muscle group.

This 1-week body part split includes 5 training sessions weekly, each dedicated to specific muscle groups for maximum stimulation. Optimized for Beginner, Intermediate lifters focusing on Bodyweight Fitness.

Exercise selection focuses on progressive bodyweight exercises that build functional strength and muscle, with minimal equipment requirements. 

Program features include structured progression schemes.

Weekly Schedule:
Monday: Chest
Tuesday: Back
Wednesday: Shoulders
Thursday: Arms
Friday: Legs","['Beginner', 'Intermediate']",['Bodyweight Fitness'],Garage Gym,1,120,51,5,Beginner,Bodyweight Fitness,Body Part Split,8.0
119,FP000120,Premium Sculpting System,"High-frequency approach with specialization sets for targeted muscle growth.

This 11-week Full Body with Specialization program includes 6 training sessions per week, structured to optimize gains for Advanced, Beginner individuals pursuing General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include periodized intensity and volume, strategic deloads, supersets for efficiency.

Weekly Schedule:
Monday: Training
Tuesday: Training
Wednesday: Training
Thursday: Training
Friday: Training
Saturday: Training","['Advanced', 'Beginner']",['General Fitness'],Garage Gym,11,120,600,3,Advanced,General Fitness,Full Body,9.0
